dataset_name,name,short_name,park,land,opened_on,duration,average_wait_per_hundred
alien_saucers,Alien Swirling Saucers,Alien Saucers,Disney's Hollywood Studios,Toy Story Land,6/30/2018,2.5,10
dinosaur,DINOSAUR,DINOSAUR,Disney's Animal Kingdom,DinoLand U.S.A.,4/22/1998,3.5,3
expedition_everest,Expedition Everest - Legend of the Forbidden Mountain,Expedition Everest,Disney's Animal Kingdom,Asia,4/7/2006,4,4
flight_of_passage,Avatar Flight of Passage,Flight of Passage,Disney's Animal Kingdom,Pandora - The World of Avatar,5/27/2017,6,4
kilimanjaro_safaris,Kilimanjaro Safaris,Kilimanjaro Safaris,Disney's Animal Kingdom,Africa,4/22/1998,20,4
navi_river,Na'vi River Journey,Na'vi River,Disney's Animal Kingdom,Pandora - The World of Avatar,5/27/2017,5,5
pirates_of_caribbean,Pirates of the Caribbean,Pirates of Caribbean,Magic Kingdom,Adventureland,12/17/1973,7.5,1.5
rock_n_rollercoaster,Rock 'n' Roller Coaster Starring Aerosmith,Rock Coaster,Disney's Hollywood Studios,Sunset Boulevard,7/29/1999,1.5,2.5
seven_dwarfs_train,Seven Dwarfs Mine Train,7 Dwarfs Train,Magic Kingdom,Fantasyland,5/28/2014,3,5
slinky_dog,Slinky Dog Dash,Slinky Dog,Disney's Hollywood Studios,Toy Story Land,6/30/2018,3,5
soarin,Soarin' Around the World,Soarin',Epcot,World Nature,5/5/2005,8,3
spaceship_earth,Spaceship Earth,Spaceship Earth,Epcot,World Celebration,10/1/1982,16,3
splash_mountain,Splash Mountain,Splash Mountain,Magic Kingdom,Frontierland,7/17/1992,18,3.5
toy_story_mania,Toy Story Mania!,Toy Story Mania!,Disney's Hollywood Studios,Toy Story Land,5/31/2008,6.5,4.5
